Textbox_value,Field1,Player,player_url,name,age,position,height_cm,weight_kg,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS_,AerialsWon,MotM,Rating
4345,Premier League - 2010/2011,	20,https://www.whoscored.com/Players/35003/Show/Chicharito,Chicharito,35,",  FW  ",175,73,6(3),550	,4	,1	,1	,-	,1.9	,79.1	,0.4	,1	,6.86
4345,Premier League - 2010/2011,	21,https://www.whoscored.com/Players/7884/Show/Tomasz-Kuszczak,Tomasz Kuszczak,41,",  GK  ",191,84,2,180	,-	,-	,-	,-	,-	,85.7	,-	,-	,6.73
4345,Premier League - 2010/2011,	22,https://www.whoscored.com/Players/68651/Show/Ben-Amos,Ben Amos,33,",  GK  ",180,70,1,90	,-	,-	,-	,-	,-	,58.6	,-	,-	,6.72
4345,Premier League - 2010/2011,	23,https://www.whoscored.com/Players/11/Show/Paul-Scholes,Paul Scholes,48,",  M(C)  ",168,70,4(3),369	,-	,1	,1	,-	,0.4	,90.7	,0.1	,-	,6.72
4345,Premier League - 2010/2011,	24,https://www.whoscored.com/Players/5835/Show/Darren-Fletcher,Darren Fletcher,39,",  M(C)  ",183,83,5(2),442	,1	,1	,-	,-	,1.1	,84.4	,0.3	,-	,6.72
4345,Premier League - 2010/2011,	25,https://www.whoscored.com/Players/1019/Show/Wes-Brown,Wes Brown,43,",  D(C)  ",185,77,2,180	,-	,-	,-	,-	,-	,84.4	,1	,-	,6.69
4345,Premier League - 2010/2011,	26,https://www.whoscored.com/Players/3841/Show/John-O-39-Shea,John O'Shea,42,",  D(C)  ",191,75,5(1),399	,-	,-	,1	,-	,-	,77.6	,0.5	,-	,6.53
4345,Premier League - 2010/2011,	27,https://www.whoscored.com/Players/71330/Show/Federico-Macheda,Federico Macheda,31,",  FW  ",185,77,1(1),95	,-	,1	,-	,-	,0.5	,78.6	,-	,-	,6.35
4345,Premier League - 2010/2011,	28,https://www.whoscored.com/Players/7/Show/Michael-Owen,Michael Owen,43,",  FW  ",173,70,0(2),27	,-	,-	,-	,-	,0.5	,87.5	,-	,-	,6.13
3115,Premier League - 2009/2010,	1,https://www.whoscored.com/Players/3859/Show/Wayne-Rooney,Wayne Rooney,37,",  M(CLR),FW  ",176,83,32,2723	,26	,3	,6	,-	,5.7	,73.6	,0.8	,5	,7.91
3115,Premier League - 2009/2010,	2,https://www.whoscored.com/Players/4092/Show/Rafael,Rafael,32,",  D(LR),M(R)  ",173,73,8,683	,1	,1	,2	,-	,0.4	,77.7	,1	,-	,7.82
3115,Premier League - 2009/2010,	3,https://www.whoscored.com/Players/9685/Show/Nemanja-Vidic,Nemanja Vidic,41,",  D(C)  ",189,84,24,2107	,1	,-	,7	,1	,0.5	,83.2	,4.5	,1	,7.59
3115,Premier League - 2009/2010,	4,https://www.whoscored.com/Players/31856/Show/Ritchie-De-Laet,Ritchie De Laet,34,",  D(CLR)  ",186,77,2,148	,-	,-	,-	,-	,0.5	,75.7	,2	,-	,7.53
3115,Premier League - 2009/2010,	5,https://www.whoscored.com/Players/19104/Show/Nani,Nani,36,",  M(CLR),FW  ",177,72,19(4),1590	,4	,6	,1	,1	,2.7	,75.4	,0.4	,2	,7.49
3115,Premier League - 2009/2010,	6,https://www.whoscored.com/Players/18296/Show/Antonio-Valencia,Antonio Valencia,37,",  D(R),M(R)  ",180,83,29(5),2615	,5	,7	,3	,-	,1.1	,82.9	,0.9	,6	,7.47
3115,Premier League - 2009/2010,	7,https://www.whoscored.com/Players/77/Show/Ryan-Giggs,Ryan Giggs,49,",  M(CL)  ",180,68,20(5),1815	,5	,9	,-	,-	,1.2	,74.1	,0.3	,4	,7.44
3115,Premier League - 2009/2010,	8,https://www.whoscored.com/Players/6410/Show/Patrice-Evra,Patrice Evra,42,",  D(CL),M(L)  ",174,75,37(1),3288	,-	,3	,5	,-	,0.8	,80.1	,1.8	,2	,7.42
3115,Premier League - 2009/2010,	9,https://www.whoscored.com/Players/2213/Show/Dimitar-Berbatov,Dimitar Berbatov,42,",  AM(C),FW  ",188,79,24(9),2096	,12	,5	,1	,-	,3	,77.9	,1.3	,6	,7.41
3115,Premier League - 2009/2010,	10,https://www.whoscored.com/Players/22079/Show/Jonny-Evans,Jonny Evans,35,",  D(CL)  ",188,77,18,1587	,-	,-	,2	,-	,0.4	,80.8	,2.7	,1	,7.37
3115,Premier League - 2009/2010,	11,https://www.whoscored.com/Players/5835/Show/Darren-Fletcher,Darren Fletcher,39,",  M(C)  ",183,83,29(1),2577	,4	,4	,4	,1	,1.2	,84.5	,0.9	,-	,7.33
3115,Premier League - 2009/2010,	12,https://www.whoscored.com/Players/7884/Show/Tomasz-Kuszczak,Tomasz Kuszczak,41,",  GK  ",191,84,8,720	,-	,-	,-	,-	,-	,52.2	,0.1	,-	,7.15
3115,Premier League - 2009/2010,	13,https://www.whoscored.com/Players/11/Show/Paul-Scholes,Paul Scholes,48,",  M(C)  ",168,70,24(4),1948	,3	,3	,8	,1	,1.5	,89.2	,0.2	,2	,7.11
3115,Premier League - 2009/2010,	14,https://www.whoscored.com/Players/1019/Show/Wes-Brown,Wes Brown,43,",  D(C)  ",185,77,18(1),1573	,-	,-	,2	,-	,0.2	,79.6	,1.8	,-	,7.08
3115,Premier League - 2009/2010,	15,https://www.whoscored.com/Players/3101/Show/Edwin-van-der-Sar,Edwin van der Sar,52,",  GK  ",197,84,21,1890	,-	,-	,-	,-	,-	,60.9	,-	,-	,7.04
3115,Premier League - 2009/2010,	16,https://www.whoscored.com/Players/2115/Show/Michael-Carrick,Michael Carrick,41,",  D(C),M(C)  ",188,74,22(8),2112	,3	,2	,1	,-	,1.1	,84.8	,0.3	,1	,7.03
3115,Premier League - 2009/2010,	17,https://www.whoscored.com/Players/119/Show/Gary-Neville,Gary Neville,48,",  D(R)  ",180,79,15(2),1355	,-	,1	,3	,-	,0.2	,82.3	,0.8	,-	,6.99
3115,Premier League - 2009/2010,	18,https://www.whoscored.com/Players/928/Show/Rio-Ferdinand,Rio Ferdinand,44,",  D(C)  ",189,82,12(1),1083	,-	,-	,-	,-	,0.3	,79.7	,1.8	,-	,6.92
3115,Premier League - 2009/2010,	19,https://www.whoscored.com/Players/30395/Show/Darron-Gibson,Darron Gibson,35,",  M(C)  ",183,90,6(9),588	,2	,2	,2	,-	,2.2	,80.8	,0.4	,-	,6.86
3115,Premier League - 2009/2010,	20,https://www.whoscored.com/Players/3203/Show/Park-Ji-Sung,Park Ji-Sung,42,",  M(CLR)  ",175,72,10(7),968	,3	,1	,-	,-	,1.2	,81.6	,0.6	,-	,6.85
3115,Premier League - 2009/2010,	21,https://www.whoscored.com/Players/21723/Show/Anderson,Anderson,35,",  M(CR)  ",176,69,10(4),865	,1	,2	,1	,-	,0.8	,79.8	,0.4	,-	,6.84
3115,Premier League - 2009/2010,	22,https://www.whoscored.com/Players/11530/Show/Ben-Foster,Ben Foster,40,",  GK  ",193,79,9,810	,-	,-	,-	,-	,-	,52.5	,-	,-	,6.72
3115,Premier League - 2009/2010,	23,https://www.whoscored.com/Players/3841/Show/John-O-39-Shea,John O'Shea,42,",  D(C)  ",191,75,12(3),1117	,1	,1	,-	,-	,0.1	,75.4	,0.7	,-	,6.63
3115,Premier League - 2009/2010,	24,https://www.whoscored.com/Players/44031/Show/F%C3%A1bio,Fábio,32,",  D(LR),M(R)  ",172,66,1(4),148	,-	,-	,-	,-	,0.2	,80.5	,0.2	,-	,6.50
3115,Premier League - 2009/2010,	25,https://www.whoscored.com/Players/71330/Show/Federico-Macheda,Federico Macheda,31,",  FW  ",185,77,1(4),127	,1	,1	,-	,-	,0.6	,74.4	,0.2	,-	,6.43
3115,Premier League - 2009/2010,	26,https://www.whoscored.com/Players/7/Show/Michael-Owen,Michael Owen,43,",  FW  ",173,70,5(14),607	,3	,-	,-	,-	,1.1	,90.7	,0.1	,-	,6.42
3115,Premier League - 2009/2010,	27,https://www.whoscored.com/Players/26013/Show/Mame-Diouf,Mame Diouf,35,",  M(LR),FW  ",185,79,0(5),90	,1	,-	,1	,-	,1.6	,85	,0.4	,-	,6.40
3115,Premier League - 2009/2010,	28,https://www.whoscored.com/Players/22818/Show/Gabriel-Obertan,Gabriel Obertan,34,",  M(CLR),FW  ",186,79,1(6),164	,-	,-	,-	,-	,0.7	,84.3	,0.3	,-	,6.30
3115,Premier League - 2009/2010,	29,https://www.whoscored.com/Players/39308/Show/Danny-Welbeck,Danny Welbeck,32,",  AM(CLR),FW  ",185,73,1(4),137	,-	,-	,-	,-	,1.2	,89.8	,-	,-	,6.21
3115,Premier League - 2009/2010,	30,https://www.whoscored.com/Players/553/Show/Owen-Hargreaves,Owen Hargreaves,42,",  Midfielder  ",180,74,0(1),1	,-	,-	,-	,-	,-	,-	,1	,-	,6.00
3571,Champions League - 2009/2010,	1,https://www.whoscored.com/Players/11/Show/Paul-Scholes,Paul Scholes,48,",  M(C)  ",168,70,7,595	,3	,1	,2	,-	,1.3	,90.5	,-	,2	,7.62
3571,Champions League - 2009/2010,	2,https://www.whoscored.com/Players/19104/Show/Nani,Nani,36,",  M(CLR),FW  ",177,72,8,640	,2	,3	,-	,-	,2.5	,74.4	,0.4	,2	,7.62
3571,Champions League - 2009/2010,	3,https://www.whoscored.com/Players/18296/Show/Antonio-Valencia,Antonio Valencia,37,",  D(R),M(R)  ",180,83,6(3),588	,2	,3	,-	,-	,1.1	,80.3	,0.6	,-	,7.49
3571,Champions League - 2009/2010,	4,https://www.whoscored.com/Players/3859/Show/Wayne-Rooney,Wayne Rooney,37,",  M(CLR),FW  ",176,83,6(1),490	,5	,2	,2	,-	,4.4	,73.5	,0.4	,1	,7.42
3571,Champions League - 2009/2010,	5,https://www.whoscored.com/Players/7884/Show/Tomasz-Kuszczak,Tomasz Kuszczak,41,",  GK  ",191,84,2,180	,-	,-	,-	,-	,-	,52.9	,-	,-	,7.34
3571,Champions League - 2009/2010,	6,https://www.whoscored.com/Players/22079/Show/Jonny-Evans,Jonny Evans,35,",  D(CL)  ",188,77,3,270	,-	,-	,-	,-	,-	,91	,0.3	,-	,7.19
3571,Champions League - 2009/2010,	7,https://www.whoscored.com/Players/9685/Show/Nemanja-Vidic,Nemanja Vidic,41,",  D(C)  ",189,84,7,630	,-	,-	,2	,-	,0.9	,87.3	,1.1	,-	,7.19
3571,Champions League - 2009/2010,	8,https://www.whoscored.com/Players/44031/Show/F%C3%A1bio,Fábio,32,",  D(LR),M(R)  ",172,66,2,148	,-	,-	,-	,-	,0.5	,83.3	,0.5	,-	,7.18
3571,Champions League - 2009/2010,	9,https://www.whoscored.com/Players/21723/Show/Anderson,Anderson,35,",  M(CR)  ",176,69,5,450	,-	,-	,-	,-	,1	,79.4	,-	,-	,7.17
3571,Champions League - 2009/2010,	10,https://www.whoscored.com/Players/119/Show/Gary-Neville,Gary Neville,48,",  D(R)  ",180,79,6,518	,-	,2	,1	,-	,0.3	,83.9	,0.5	,-	,7.08
3571,Champions League - 2009/2010,	11,https://www.whoscored.com/Players/2115/Show/Michael-Carrick,Michael Carrick,41,",  D(C),M(C)  ",188,74,6(2),502	,1	,-	,-	,1	,2	,84.6	,0.4	,1	,7.04
3571,Champions League - 2009/2010,	12,https://www.whoscored.com/Players/5835/Show/Darren-Fletcher,Darren Fletcher,39,",  M(C)  ",183,83,6(1),548	,1	,2	,1	,-	,1.1	,82.7	,-	,-	,7.04
3571,Champions League - 2009/2010,	13,https://www.whoscored.com/Players/6410/Show/Patrice-Evra,Patrice Evra,42,",  D(CL),M(L)  ",174,75,7(2),677	,-	,-	,-	,-	,0.2	,79.5	,1.6	,-	,7.03
3571,Champions League - 2009/2010,	14,https://www.whoscored.com/Players/7/Show/Michael-Owen,Michael Owen,43,",  FW  ",173,70,3(3),269	,4	,-	,-	,-	,1.7	,87.9	,-	,1	,7.00
3571,Champions League - 2009/2010,	15,https://www.whoscored.com/Players/3101/Show/Edwin-van-der-Sar,Edwin van der Sar,52,",  GK  ",197,84,6,540	,-	,-	,-	,-	,-	,51.8	,-	,-	,7.00
3571,Champions League - 2009/2010,	16,https://www.whoscored.com/Players/4092/Show/Rafael,Rafael,32,",  D(LR),M(R)  ",173,73,3(1),239	,-	,1	,-	,1	,0.3	,81.3	,0.3	,-	,6.99
3571,Champions League - 2009/2010,	17,https://www.whoscored.com/Players/22818/Show/Gabriel-Obertan,Gabriel Obertan,34,",  M(CLR),FW  ",186,79,1(2),114	,-	,2	,1	,-	,1	,84	,-	,-	,6.93
3571,Champions League - 2009/2010,	18,https://www.whoscored.com/Players/3203/Show/Park-Ji-Sung,Park Ji-Sung,42,",  M(CLR)  ",175,72,5(1),416	,1	,-	,-	,-	,0.7	,84.8	,0.5	,-	,6.93
3571,Champions League - 2009/2010,	19,https://www.whoscored.com/Players/77/Show/Ryan-Giggs,Ryan Giggs,49,",  M(CL)  ",180,68,1(2),107	,1	,1	,-	,-	,0.7	,66	,0.3	,-	,6.91
3571,Champions League - 2009/2010,	20,https://www.whoscored.com/Players/30395/Show/Darron-Gibson,Darron Gibson,35,",  M(C)  ",183,90,3(1),263	,1	,-	,-	,-	,2.8	,83.6	,-	,-	,6.90
3571,Champions League - 2009/2010,	21,https://www.whoscored.com/Players/3841/Show/John-O-39-Shea,John O'Shea,42,",  D(C)  ",191,75,2(1),215	,-	,-	,-	,-	,0.3	,75.5	,0.7	,-	,6.87
3571,Champions League - 2009/2010,	22,https://www.whoscored.com/Players/928/Show/Rio-Ferdinand,Rio Ferdinand,44,",  D(C)  ",189,82,6,507	,-	,-	,-	,-	,-	,83.6	,1.2	,-	,6.84
3571,Champions League - 2009/2010,	23,https://www.whoscored.com/Players/71330/Show/Federico-Macheda,Federico Macheda,31,",  FW  ",185,77,2,173	,-	,-	,1	,-	,4	,81.1	,-	,-	,6.69
3571,Champions League - 2009/2010,	24,https://www.whoscored.com/Players/39308/Show/Danny-Welbeck,Danny Welbeck,32,",  AM(CLR),FW  ",185,73,2,164	,-	,-	,-	,-	,2.5	,83.1	,-	,-	,6.44
3571,Champions League - 2009/2010,	25,https://www.whoscored.com/Players/11530/Show/Ben-Foster,Ben Foster,40,",  GK  ",193,79,2,180	,-	,-	,-	,-	,-	,72.5	,-	,-	,6.42
3571,Champions League - 2009/2010,	26,https://www.whoscored.com/Players/1019/Show/Wes-Brown,Wes Brown,43,",  D(C)  ",185,77,2(2),214	,-	,-	,-	,-	,0.5	,87.7	,1	,-	,6.35
3571,Champions League - 2009/2010,	27,https://www.whoscored.com/Players/2213/Show/Dimitar-Berbatov,Dimitar Berbatov,42,",  AM(C),FW  ",188,79,1(5),242	,-	,1	,1	,-	,0.8	,83.7	,0.3	,-	,6.34
